palabra_clave;rol;grupo;tipo_dato;idioma;prioridad;rol_motor_actual
banco;banco;bancario;texto;es;100;
banco cliente;banco;bancario;texto;es;100;
banco destino;banco;bancario;texto;es;100;
banco emisor;banco;bancario;texto;es;100;
banco origen;banco;bancario;texto;es;100;
banco pagador;banco;bancario;texto;es;100;
banco proveedor;banco;bancario;texto;es;100;
cooperativa ahorro;banco;bancario;texto;es;100;
entidad financiera;banco;bancario;texto;es;100;
financiera;banco;bancario;texto;es;100;
institucion bancaria;banco;bancario;texto;es;100;
institucion financiera;banco;bancario;texto;es;100;
nombre banco;banco;bancario;texto;es;100;
banco clientes;banco;bancario;texto;es;90;
banco destinos;banco;bancario;texto;es;90;
banco emisores;banco;bancario;texto;es;90;
banco origenes;banco;bancario;texto;es;90;
banco pagadores;banco;bancario;texto;es;90;
banco proveedores;banco;bancario;texto;es;90;
bancos;banco;bancario;texto;es;90;
bank;banco;bancario;texto;en;90;
bank name;banco;bancario;texto;en;90;
cooperativa ahorros;banco;bancario;texto;es;90;
entidad financieras;banco;bancario;texto;es;90;
financial institution;banco;bancario;texto;en;90;
financieras;banco;bancario;texto;es;90;
institucion bancarias;banco;bancario;texto;es;90;
institucion financieras;banco;bancario;texto;es;90;
issuing bank;banco;bancario;texto;en;90;
nombre bancos;banco;bancario;texto;es;90;
banco de cliente;banco;bancario;texto;es;80;
banco de destino;banco;bancario;texto;es;80;
banco de emisor;banco;bancario;texto;es;80;
banco de origen;banco;bancario;texto;es;80;
banco de pagador;banco;bancario;texto;es;80;
banco de proveedor;banco;bancario;texto;es;80;
banco de receptor;banco;bancario;texto;es;80;
banco_receptor;banco;bancario;texto;es;80;
banco de clientes;banco;bancario;texto;es;70;
banco de destinos;banco;bancario;texto;es;70;
banco de emisores;banco;bancario;texto;es;70;
banco de origenes;banco;bancario;texto;es;70;
banco de pagadores;banco;bancario;texto;es;70;
banco de proveedores;banco;bancario;texto;es;70;
banco de receptores;banco;bancario;texto;es;70;
banco del cliente;banco;bancario;texto;es;70;
banco del destino;banco;bancario;texto;es;70;
banco del emisor;banco;bancario;texto;es;70;
banco del origen;banco;bancario;texto;es;70;
banco del pagador;banco;bancario;texto;es;70;
banco del proveedor;banco;bancario;texto;es;70;
banco del receptor;banco;bancario;texto;es;70;
banco_receptores;banco;bancario;texto;es;70;
banco del clientes;banco;bancario;texto;es;60;
banco del destinos;banco;bancario;texto;es;60;
banco del emisores;banco;bancario;texto;es;60;
banco del origenes;banco;bancario;texto;es;60;
banco del pagadores;banco;bancario;texto;es;60;
banco del proveedores;banco;bancario;texto;es;60;
banco del receptores;banco;bancario;texto;es;60;
bco;banco;bancario;texto;es;60;
bcos;banco;bancario;texto;es;50;
categoria cuenta;tipo_cuenta;bancario;texto;es;100;
clase cuenta;tipo_cuenta;bancario;texto;es;100;
cuenta corriente vista;tipo_cuenta;bancario;texto;es;100;
tipo cuenta;tipo_cuenta;bancario;texto;es;100;
tipo cuenta bancaria;tipo_cuenta;bancario;texto;es;100;
tipo producto bancario;tipo_cuenta;bancario;texto;es;100;
tipo tarjeta;tipo_cuenta;bancario;texto;es;100;
account type;tipo_cuenta;bancario;texto;en;90;
card type;tipo_cuenta;bancario;texto;en;90;
categoria cuentas;tipo_cuenta;bancario;texto;es;90;
clase cuentas;tipo_cuenta;bancario;texto;es;90;
cuenta corriente vistas;tipo_cuenta;bancario;texto;es;90;
tipo cuenta bancarias;tipo_cuenta;bancario;texto;es;90;
tipo cuentas;tipo_cuenta;bancario;texto;es;90;
tipo producto bancarios;tipo_cuenta;bancario;texto;es;90;
tipo tarjetas;tipo_cuenta;bancario;texto;es;90;
tipo de credito bancario;tipo_cuenta;bancario;texto;es;80;
tipo de cuenta;tipo_cuenta;bancario;texto;es;80;
tipo de deposito;tipo_cuenta;bancario;texto;es;80;
tipo de tarjeta;tipo_cuenta;bancario;texto;es;80;
tipo_credito bancario;tipo_cuenta;bancario;texto;es;80;
tipo_deposito;tipo_cuenta;bancario;texto;es;80;
tipo de credito bancarios;tipo_cuenta;bancario;texto;es;70;
tipo de cuentas;tipo_cuenta;bancario;texto;es;70;
tipo de depositos;tipo_cuenta;bancario;texto;es;70;
tipo de tarjetas;tipo_cuenta;bancario;texto;es;70;
tipo del credito bancario;tipo_cuenta;bancario;texto;es;70;
tipo del cuenta;tipo_cuenta;bancario;texto;es;70;
